"subway_name","year","train_flow","passenger_flow"
"Broadway-Lafayette St",2020,2196,-1123091
"Broadway Jct",2017,1984,319185
"Broadway Jct",2020,2196,-102980
"Bronx Park East",2017,1922,428969
"Bronx Park East",2020,2117,157759
"Brook Av",2017,1985,196943
"Brook Av",2020,2196,-178621
"Brooklyn Bridge - City Hall",2017,3807,677254
"Brooklyn Bridge - City Hall",2020,4339,87088
"Buhre Av",2017,1980,85478
"Buhre Av",2020,2196,-33971
"Burke Av",2020,2108,210412
"Burke Av",2017,1932,620752
"Burnside Av",2020,2182,470223
"Burnside Av",2017,1970,1516675
"Bushwick Av - Aberdeen St",2017,1961,195624
"Bushwick Av - Aberdeen St",2020,2173,43948
"Canal St",2020,13131,726106
"Canal St",2017,11814,5078291
"Canarsie - Rockaway Pkwy",2020,2196,893742
"Canarsie - Rockaway Pkwy",2017,1985,2584398
"Carroll St",2017,1957,1803222
"Carroll St",2020,2168,517682
"Castle Hill Av",2020,2196,-165519
"Castle Hill Av",2017,1984,36202
"Cathedral Pkwy",2017,1980,1699814
"Cathedral Pkwy",2020,2195,321489
"Cathedral Pkwy (110 St)",2017,1983,926254
"Cathedral Pkwy (110 St)",2020,2196,328345
"Central Av",2020,2166,-22427
"Central Av",2017,1881,43379
"Central Park North (110 St)",2017,1984,465602
"Central Park North (110 St)",2020,2193,-180525
"Chambers St",2020,10957,651823
"Chambers St",2017,9892,5967230
"Chauncey St",2017,1984,560862
"Chauncey St",2020,2195,208782
"Christopher St - Sheridan Sq",2017,1970,382070
"Christopher St - Sheridan Sq",2020,2193,-57124
"Church Av",2017,5952,3178215
"Church Av",2020,6584,1019918
"Clark St",2020,2142,178013
"Clark St",2017,1779,693755
"Classon Av",2017,1975,64671
"Classon Av",2020,2191,-68942
"Cleveland St",2017,1929,14518
"Cleveland St",2020,2112,-134772
"Clinton - Washington Avs",2020,4387,212628
"Clinton - Washington Avs",2017,3966,1438544
"Coney Island - Stillwell Av",2020,2196,1944
"Coney Island - Stillwell Av",2017,1985,712811
"Cortelyou Rd",2017,1971,1275034
"Cortelyou Rd",2020,2176,479382
"Cortlandt St",2017,1985,1540673
"Cortlandt St",2020,2196,405541
"Court Sq",2020,4392,75912
"Court Sq",2017,3968,2302182
"Court St",2017,1920,248557
"Court St",2020,2135,52500
"Crescent St",2017,1941,-130789
"Crescent St",2020,2121,-202107
"Crown Hts - Utica Av",2017,1984,2324484
"Crown Hts - Utica Av",2020,2196,267904
"Cypress Av",2017,1983,402895
"Cypress Av",2020,2195,24977
"Cypress Hills",2020,2100,72090
"Cypress Hills",2017,1837,155273
"DeKalb Av",2017,3955,5629001
"DeKalb Av",2020,4377,2032923
"Delancey St",2017,1985,931255
"Delancey St",2020,2196,199244
"Ditmas Av",2020,2190,212765
"Ditmas Av",2017,1982,458388
"Dyckman St",2017,3925,2846610
"Dyckman St",2020,4342,1188063
"E 105 St",2020,2164,-114591
"E 105 St",2017,1982,80218
"E 143 St - St Mary's St",2020,2191,-49765
"E 143 St - St Mary's St",2017,1980,-23960
"E 149 St",2020,2196,-124838
"E 149 St",2017,1983,139318
"E 180 St",2020,2192,-16140
"E 180 St",2017,1982,478118
"East Broadway",2020,2194,522400
"East Broadway",2017,1983,2129169
"Eastchester - Dyre Av",2020,2153,-149740
"Eastchester - Dyre Av",2017,1873,-15823
"Eastern Pkwy - Brooklyn Museum",2017,1969,93102
"Eastern Pkwy - Brooklyn Museum",2020,2157,-123338
"Elder Av",2020,2194,-181039
"Elder Av",2017,1981,142576
"Elmhurst Av",2017,1983,2733725
"Elmhurst Av",2020,2196,951436
"Essex St",2020,2196,60182
"Essex St",2017,1985,969293
"Euclid Av",2020,2195,914129
"Euclid Av",2017,1984,2251334
"Far Rockaway - Mott Av",2017,1983,-24671
"Far Rockaway - Mott Av",2020,2196,-158676
"Flatbush Av - Brooklyn College",2017,1984,2344127
"Flatbush Av - Brooklyn College",2020,2195,555888
"Flushing - Main St",2017,1984,3814289
"Flushing - Main St",2020,2196,211277
"Flushing Av",2020,4392,289252
"Flushing Av",2017,3943,1520715
"Fordham Rd",2017,3966,4530940
"Fordham Rd",2020,4391,1580511
"Forest Av",2020,2020,113381
"Forest Av",2017,1762,188322
"Forest Hills - 71 Av",2020,2196,1242319
"Forest Hills - 71 Av",2017,1985,4043311
"Fort Hamilton Pkwy",2020,4385,598036
"Fort Hamilton Pkwy",2017,3955,1563772
"Franklin Av",2020,2196,-215805
"Franklin Av",2017,1985,24711
"Franklin St",2017,1976,655615
"Franklin St",2020,2196,148330
"Freeman St",2017,1985,261316
"Freeman St",2020,2196,-65154
"Fresh Pond Rd",2020,2099,-68445
"Fresh Pond Rd",2017,1850,16661
"Fulton St",2020,10980,84236
"Fulton St",2017,9856,4802810
"Gates Av",2017,1983,1288390
"Gates Av",2020,2195,464420
"Graham Av",2017,1966,951393
"Graham Av",2020,2182,151141
"Grand Army Plaza",2020,2146,435852
"Grand Army Plaza",2017,1924,1283601
"Grand Av - Newtown",2020,2193,510620
"Grand Av - Newtown",2017,1983,1869214
"Grand Central - 42 St",2020,8759,-1275058
"Grand Central - 42 St",2017,7735,3407078
"Grand St",2017,3883,1563328
"Grand St",2020,4367,91696
"Grant Av",2017,1964,429121
"Grant Av",2020,2170,-27827
"Greenpoint Av",2017,1978,776946
"Greenpoint Av",2020,2196,55449
"Gun Hill Rd",2017,3710,981474
"Gun Hill Rd",2020,4271,-371772
"Halsey St",2017,3956,2117802
"Halsey St",2020,4383,654953
"Harlem - 148 St",2020,2090,-24711
"Harlem - 148 St",2017,1914,107742
"Hewes St",2017,1984,397569
"Hewes St",2020,2196,18212
"High St",2017,1912,-277962
"High St",2020,2191,-219256
"Houston St",2020,2196,307273
"Houston St",2017,1985,1341477
"Howard Beach - JFK Airport",2020,4391,192652
"Howard Beach - JFK Airport",2017,3968,-121815
"Hoyt - Schermerhorn Sts",2017,1984,403589
"Hoyt - Schermerhorn Sts",2020,2194,-36057
"Hoyt St",2020,4350,-8749
"Hoyt St",2017,3707,325337
"Hunters Point Av",2020,2143,24219
"Hunters Point Av",2017,1946,248902
"Hunts Point Av",2017,1985,583126
"Hunts Point Av",2020,2196,130169
"Intervale Av",2017,1984,36295
"Intervale Av",2020,2196,-94163
"Inwood - 207 St",2020,2196,534369
"Inwood - 207 St",2017,1985,1489529
"Jackson Av",2020,2195,520991
"Jackson Av",2017,1985,1321947
"Jackson Hts - Roosevelt Av",2020,2196,1207811
"Jackson Hts - Roosevelt Av",2017,1984,3450616
"Jamaica - 179 St",2020,2196,1489521
"Jamaica - 179 St",2017,1984,3617300
"Jamaica - Van Wyck",2020,2196,-99655
"Jamaica - Van Wyck",2017,1983,-116737
"Jamaica Center - Parsons/Archer",2017,3962,3070149
"Jamaica Center - Parsons/Archer",2020,4390,673077
"Jay St - MetroTech",2017,3967,5318542
"Jay St - MetroTech",2020,4392,716131
"Jefferson St",2020,2184,615070
"Jefferson St",2017,1967,1801826
"Junction Blvd",2017,1981,1180773
"Junction Blvd",2020,2193,108692
"Junius St",2020,2193,-162846
"Junius St",2017,1182,-38462
"Kings Hwy",2017,5808,1475620
"Kings Hwy",2020,6519,193386
"Kingsbridge Rd",2020,4385,338265
"Kingsbridge Rd",2017,3960,1957507
"Kingston - Throop Avs",2017,1984,373961
"Kingston - Throop Avs",2020,2196,-132170
"Kingston Av",2020,2195,-33063
"Kingston Av",2017,1981,224667
"Knickerbocker Av",2017,1890,16348
"Knickerbocker Av",2020,2159,-83742
"Kosciuszko St",2020,2193,311372
"Kosciuszko St",2017,1984,1155699
"Lafayette Av",2020,2194,174815
"Lafayette Av",2017,1985,843621
"Lexington Av/59 St",2017,1983,1562264
"Lexington Av/59 St",2020,2196,452472
"Lexington Av/63 St",2020,2196,-218694
"Lexington Av/63 St",2017,1984,-168389
"Liberty Av",2017,1961,432039
"Liberty Av",2020,2187,128853
"Livonia Av",2020,2181,32726
"Livonia Av",2017,1983,245180
"Longwood Av",2017,1976,139798
"Longwood Av",2020,2177,-66803
"Lorimer St",2017,3962,2134995
"Lorimer St",2020,4388,468425
"Marble Hill - 225 St",2017,1962,1211198
"Marble Hill - 225 St",2020,2187,533389
"Marcy Av",2020,2196,17271
"Marcy Av",2017,1985,1116678
"Metropolitan Av",2017,1982,1071091
"Metropolitan Av",2020,2196,269352
"Mets - Willets Point",2017,1984,135400
"Mets - Willets Point",2020,2196,-74308
"Middle Village - Metropolitan Av",2020,2195,-66913
"Middle Village - Metropolitan Av",2017,1984,20161
"Middletown Rd",2020,2190,-26905
"Middletown Rd",2017,1974,32541
"Montrose Av",2020,2180,158247
"Montrose Av",2017,1967,840032
"Morgan Av",2020,2183,171574
"Morgan Av",2017,1967,1270778
"Morris Park",2017,1714,30676
"Morris Park",2020,2029,-18406
"Morrison Av- Sound View",2020,2193,-44397
"Morrison Av- Sound View",2017,1983,447269
"Mosholu Pkwy",2020,2194,734463
"Mosholu Pkwy",2017,1969,1687064
"Mt Eden Av",2020,2175,140153
"Mt Eden Av",2017,1972,464092
"Myrtle - Willoughby Avs",2020,2196,297012
"Myrtle - Willoughby Avs",2017,1984,805278
