Neighborhood,Borough,Population_2017,Per_Capita_Income_2017,Median_Income_2017,Mean_Travel_Time_Work_2017,Unemployment_Rate_2017
Glendale,Queens,28072,29723.0,70509.0,37.8,4.0
Hammels-Arverne-Edgemere,Queens,29066,20202.0,39374.0,55.4,7.3
Hollis,Queens,17387,24513.0,66176.0,50.2,8.7
Sunny Side,Queens,56920,40028.0,67822.0,36.3,3.5
Jackson Heights,Queens,86461,24967.0,53288.0,40.0,4.1
Jamaica,Queens,43490,17450.0,42970.0,47.6,7.7
Jamaica,Queens,21980,33955.0,69745.0,43.8,4.7
Kew Gardens,Queens,19303,36005.0,63518.0,42.7,4.0
Kew Gardens Hills,Queens,30235,29021.0,64561.0,40.7,3.3
Laurelton,Queens,22081,31434.0,81795.0,50.7,5.0
Howard Beach,Queens,23412,35737.0,68531.0,41.6,4.6
Maspeth,Queens,23667,30876.0,62820.0,41.0,4.4
Middle Village,Queens,31684,34522.0,72118.0,40.1,4.2
Murray Hill,Queens,44665,25826.0,52762.0,40.2,3.5
Corona,Queens,40891,15199.0,47218.0,43.2,4.5
Oakland Gardens,Queens,23457,37845.0,70660.0,44.5,3.5
Astoria-Long Island City,Queens,24053,32109.0,55087.0,38.4,5.5
Ozone Park,Queens,18662,25503.0,70275.0,43.6,6.6
park-cemetery-etc-Queens,Queens,281,29790.0,58460.0,29.9,
Pomonok-Flushing Heights-Hillcrest,Queens,29414,25721.0,52068.0,41.9,7.6
Queens Village,Queens,45828,25260.0,70880.0,47.8,7.8
Queensboro Hill,Queens,18082,21073.0,55740.0,43.1,4.2
Queensbridge-Ravenswood-Long Island City,Queens,15769,21430.0,28870.0,37.5,9.1
Rego Park,Queens,24163,33623.0,57539.0,42.3,3.5
Woodhaven-Richmond Hill,Queens,54458,20972.0,60779.0,45.2,5.5
Ridgewood,Queens,57860,24563.0,55788.0,39.5,4.3
Rosedale,Queens,21978,28742.0,86452.0,50.4,4.4
Jamaica,Queens,32122,20009.0,48375.0,48.6,11.9
South Ozone Park,Queens,69511,22153.0,62651.0,47.1,7.2
Springfield Gardens,Queens,22173,26123.0,53006.0,49.5,5.2
Springfield Gardens,Queens,17194,25551.0,75244.0,50.9,6.8
St. Albans,Queens,43580,26321.0,71487.0,50.2,7.8
Steinway,Queens,41838,37056.0,64259.0,38.9,4.4
Whitestone,Queens,25359,36322.0,79557.0,37.9,3.4
Woodhaven-Richmond Hill,Queens,50024,23431.0,64408.0,46.6,5.3
Woodside,Queens,37798,25064.0,51485.0,38.3,4.3
Annandale,Staten Island,23671,39343.0,92853.0,45.8,2.8
Arden Heights,Staten Island,21150,35060.0,84490.0,46.1,3.4
Charlestown-Richmond Valley,Staten Island,19291,36496.0,86645.0,41.1,3.7
Grasmere-Arrochar-Ft. Wadsworth,Staten Island,12686,31394.0,74103.0,41.3,4.8
Great Kills,Staten Island,35958,36323.0,91161.0,45.3,4.7
Clifton,Staten Island,17145,26496.0,55814.0,46.8,4.9
Mariners Harbor,Staten Island,23256,23239.0,59106.0,45.5,3.2
New Brighton,Staten Island,14140,33074.0,72283.0,40.9,4.3
Midland Beach,Staten Island,17282,33572.0,77658.0,40.6,3.1
Bloomfield-Chelsea-Travis,Staten Island,33186,31938.0,76123.0,41.3,3.6
Oakwood,Staten Island,17332,37037.0,75638.0,45.8,3.7
South Beach,Staten Island,20610,27612.0,65994.0,41.8,3.3
park-cemetery-etc-Staten Island,Staten Island,0,,,,
Port Richmond,Staten Island,15378,25792.0,62339.0,41.3,2.5
Rossville,Staten Island,17061,38559.0,93405.0,46.0,2.5
Rosebank,Staten Island,20812,25637.0,53120.0,41.6,3.9
Todt Hill,Staten Island,26686,42579.0,83355.0,41.5,2.9
New Brighton,Staten Island,25027,24737.0,48899.0,44.2,4.0
Westerleigh-Castleton,Staten Island,19640,36982.0,79491.0,37.6,4.2
