"nname","borough","num_stations","pop_den_change","pcinc_change","minc_change","traveltime_change","ur_change"
"Park Slope","Brooklyn",13,-0.22174868262385,0.218726766476668,0.301245374886844,0.0367454068241469,-0.27027027027027
"Parkchester","The Bronx",7,-0.00689019749228845,0.121095455447509,0.0890698688225736,0.0683229813664597,-0.383720930232558
"Ridgewood","Queens",7,0.00250604908399597,0.176688515246509,0.291711479171148,0.0962025316455696,-0.325581395348837
"Soho","Manhattan",6,-0.447078861283084,-0.167136616529329,-0.185303934625693,0.0192307692307692,-0.4
"Soundview","The Bronx",4,0.102037454006261,0.185538149979153,0.136128055772141,0.0155902004454344,-0.258278145695364
"South Beach","Staten Island",3,0.411402231926249,0.246052440967695,0.167015183198473,0.0933014354066987,-0.0606060606060605
"Sunny Side","Queens",12,-0.253425860857344,-0.108074347956431,-0.0607914835893958,0.0523415977961434,-0.228571428571429
"Sunset Park","Brooklyn",6,-0.231976077747321,0.325078343825397,0.281510906844348,0.00815850815850819,-0.302752293577982
"The Rockaways","Queens",10,0.0442641091848027,0.197676891615542,0.146470805320668,0.0127253446447508,-0.0804597701149425
"Tremont","The Bronx",6,-0.310889116919177,0.25385489368609,0.118572074107546,0.0586907449209933,-0.462809917355372
"Union Port","The Bronx",4,0.383285942775902,0.106517239638548,0.0177600663411038,0.0304347826086956,-0.574468085106383
"University Heights","The Bronx",4,-0.0160015330810138,0.135622773102873,0.16622760800843,0.0611764705882353,0.0285714285714286
"Upper East Side","Manhattan",8,0.408349852340305,-0.359118052061542,-0.246148562772008,0.171532846715329,-0.119047619047619
"Utopia","Queens",4,0.2173470685489,0.109497312081486,0.0685435887384676,0.0376940133037693,-0.314814814814815
"Wakefield-Williamsbridge","The Bronx",6,0.0933500627352572,0.122796188418657,0.114147825630803,0.0719101123595506,-0.333333333333333
"West Village","Manhattan",3,-0.506536053715657,0.1646513410661,0.137549856596958,0.0743801652892562,0.121212121212121
"Williams Bridge","The Bronx",5,-0.0572535684630897,0.16135220614922,0.127748768110613,0.00655021834061145,-0.310679611650486
"Williamsburg","Brooklyn",14,0.557116271117335,0.654217033066399,0.65784022453154,0.0696347031963459,-0.0789473684210526
"Woodhaven-Richmond Hill","Queens",11,-0.482366978682133,0.142580456275477,0.152856659770316,0.0435729847494553,-0.277777777777778
"Woodside","Queens",5,0.0327795121434997,0.169765400574529,0.204797513838982,-0.02088772845953,-0.348837209302326
