"neighborhood","borough","population_2017","population_2020","pcinc_change","minc_change","traveltime_change","ur_change"
"Co-op City","The Bronx",40935,32269,0.231709278018974,0.13238836789125,0.0199600798403194,-0.442622950819672
"College Point","Queens",20643,22594,0.143132732228979,0.137056760146126,0.0244498777506112,-0.41025641025641
"Coney Island","Brooklyn",23598,39838,0.192430437817892,0.301386701494257,0.018595041322314,-0.494252873563218
"Corona","Queens",42836.5,42369.5,0.142949567146246,0.2194231038607,0.0511627906976745,-0.325301204819277
"Country Club","The Bronx",22024,22402,0.0898083930880451,0.102079336592611,0.0798969072164949,-0.266666666666667
"Crotona Park East","The Bronx",16206,21447,0.235060850540134,0.284541662969208,-0.0505747126436782,-0.368421052631579
"Douglastown-Little Neck","Queens",21420,21644,0.180898340405232,0.162552599714673,0.107231920199501,-0.294117647058824
"Dyker Heights","Brooklyn",36996,34621,0.130328251400124,0.124507192328183,-0.0319634703196347,-0.352941176470588
"East Elmhurst","Queens",17586,19957,0.102699707867432,0.147739961126504,-0.00460829493087548,-0.306122448979592
"East Harlem","Manhattan",49140,50435.5,0.158394870914191,0.0931668303634068,0.0289017341040462,-0.162393162393162
"East Village","Manhattan",41068,63071,-0.0793577273429057,-0.171391874535253,0.04421768707483,-0.210526315789474
"Elmhurst","Queens",68715,79483,0.160649819494585,0.243852412829355,0.00945626477541385,-0.325
"Financial District","Manhattan",39203,39642,0.161228765219556,0.293022805475697,0.047808764940239,-0.129032258064516
"Flatbush","Brooklyn",64162,35358,0.193302634728854,0.101534724738744,0.0613333333333326,-0.264150943396226
"Flushing","Queens",41605.5,38516,0.075486292799454,-0.0133504701032838,-0.0255164034021871,-0.441176470588235
"Fordham","The Bronx",20825,24089,0.0574844791906185,0.225325108369456,0.0395348837209303,0.111111111111111
"Forest Hills","Queens",71980,72924,0.139986266880293,0.192222317083582,0.0614657210401892,-0.27027027027027
"Fort Green","Brooklyn",25298,27213,0.298405524168236,0.212913349024321,0.0307262569832403,-0.26865671641791
"Glen Oaks-Floral Park-New Hyde Park","Queens",20313,21292,0.0403023918701202,0.0751956367085606,-0.010230179028133,-0.314285714285714
"Glendale","Queens",28072,28391,0.130639572048582,0.168248025074813,0.0925925925925926,-0.3
"Gramercy","Manhattan",26343,24821,0.149236537521056,0.111502932929661,0.120833333333333,-0.25
"Gravesend-Sheepshead Bay","Brooklyn",39912,35945,0.0809323710640864,0.186872381936075,0.0136789056875444,-0.355742296918768
"Great Kills","Staten Island",35958,44545,0.128926575448063,0.0971906846129375,0.0485651214128036,-0.404255319148936
"Greenpoint","Brooklyn",30264,30972,0.278297463577522,0.271057980964689,0.0298913043478261,-0.357142857142857
"Hamilton Heights","Manhattan",44399,44033,0.246211680812309,0.230457519299119,0.0338541666666668,-0.313432835820896
"Harlem","Manhattan",54560.5,54071,0.261655857774336,0.196601670062012,0.0261707988980717,-0.24822695035461
"High Bridge","The Bronx",28547,23556,0.121433591004919,0.157528252349606,0.0661764705882354,-0.236111111111111
"Hollis","Queens",17387,18659,0.202871945498307,0.102000725338491,-0.0418326693227092,-0.390804597701149
"Howard Beach","Queens",23412,23867,0.124660715784761,0.103850812041266,0.014423076923077,-0.434782608695652
